Board_ID,BOARD,POINT_X,POINT_Y,YEAR,REDBACK,SPOTTEDSUM,SLIMYSUM,JEFFERSONSUM,REDEFTSUM,TWOLINEDSUM,MARBLEDSUM,FOURTOEDSUM,ident,elevation,wetland_dens1k,Rd_dens1k,wet_dist,road_dis,urb_dens2_5k,ag_dens2_5k,edge_dis,can_co,elu_geolog,dens_ave,percent_total_veg_cover,percent_shrub_cover,percent_total_exotic_cover,leaf_detritus,rock_cover,cwd_cover
AD3A1,AD03A01,618027.8373,4697736.536,2012,2,0,0,0,0,0,0,0,AD03A01,246,0.075,0.027,231,428,0.103,0.249,430,87,100,91.75,40,0,0,0,1,2
AD3A2,AD03A02,618067.7456,4697769.09,2012,7,0,0,0,0,0,0,0,AD03A02,244,0.075,0.028,193,396,0.103,0.248,408,87,100,90,5,0,0,0,0,1
AD3A3,AD03A03,618107.2439,4697798.414,2012,2,0,0,0,0,0,0,0,AD03A03,255,0.075,0.034,150,369,0.104,0.245,362,86,100,34.75,10,0,0,2,0,1
AD3A4,AD03A04,618141.3397,4697835.756,2012,5,0,0,0,0,0,0,0,AD03A04,260,0.07,0.036,119,354,0.104,0.242,350,86,100,85.25,25,0,0,2,0,2
AD3A5,AD03A05,618181.5871,4697864.538,2012,0,0,0,0,0,0,0,0,AD03A05,263,0.075,0.037,94,337,0.105,0.24,342,82,100,93.75,40,0,0,3,0,3
AD3A6,AD03A06,618222.6344,4697894.666,2012,1,0,0,0,0,0,0,0,AD03A06,266,0.07,0.038,93,326,0.105,0.239,339,84,100,92.25,85,5,0,1,1,2
AD3B1,AD03B01,617972.7015,4697788.366,2012,1,0,0,0,0,0,0,0,AD03B01,255,0.075,0.026,163,493,0.101,0.248,424,87,100,0,90,5,5,1,1,2
AD3B2,AD03B02,618013.3518,4697817.709,2012,5,0,0,0,0,0,0,0,AD03B02,244,0.075,0.027,201,463,0.102,0.246,459,88,100,96,5,0,0,1,1,2
AD3B3,AD03B03,618053.1307,4697845.038,2012,7,0,0,0,2,0,0,0,AD03B03,240,0.075,0.03,207,437,0.103,0.245,430,86,100,94.75,70,5,0,0,3,2
AD3B4,AD03B04,618085.1101,4697881.011,2012,0,0,0,0,0,0,0,0,AD03B04,254,0.075,0.033,187,426,0.103,0.243,433,87,100,83.5,25,5,0,1,0,1
AD3B5,AD03B05,618124.673,4697911.336,2012,0,0,0,0,0,0,0,0,AD03B05,254,0.065,0.036,168,410,0.104,0.242,426,83,100,33.5,75,0,0,0,1,2
AD3B6,AD03B06,618160.9379,4697937.163,2012,3,0,0,0,0,0,0,0,AD03B06,252,0.07,0.037,161,400,0.104,0.241,424,85,100,91.25,30,0,0,0,0,2
AD4A1,AD04A01,618108.8419,4698063.427,2012,3,0,0,0,0,0,0,0,AD04A01,233,0.075,0.038,295,476,0.1,0.236,319,81,100,59.75,75,0,0,1,3,2
AD4A2,AD04A02,618154.3163,4698078.905,2012,0,0,0,0,0,0,0,0,AD04A02,237,0.07,0.04,290,441,0.1,0.235,323,69,100,93.5,10,0,0,1,1,1
AD4A3,AD04A03,618204.1851,4698093.537,2012,1,0,0,0,0,0,0,0,AD04A03,245,0.06,0.047,290,407,0.101,0.235,277,82,100,92.25,75,0,25,1,1,1
AD4A4,AD04A04,618253.11,4698107.279,2012,3,0,0,0,0,0,0,0,AD04A04,249,0.06,0.049,299,371,0.102,0.234,272,83,100,90.5,80,0,25,0,1,2
AD4A5,AD04A05,618300.4399,4698137.407,2012,0,0,0,0,0,0,0,0,AD04A05,257,0.06,0.055,322,325,0.102,0.233,240,85,100,84.75,80,0,0,1,0,2
AD4A6,AD04A06,618355.6914,4698137.56,2012,3,0,0,0,0,0,0,0,AD04A06,265,0.06,0.064,304,309,0.103,0.233,242,77,100,83.5,20,0,0,1,1,
AD4B1,AD04B01,618118.3165,4697977.497,2012,1,0,0,0,0,0,0,0,AD04B01,248,0.075,0.037,219,458,0.102,0.239,391,85,100,53.5,2,0,0,0,0,2
AD4B2,AD04B02,618170.0907,4697989.62,2012,4,0,0,0,0,0,0,0,AD04B02,250,0.07,0.039,201,432,0.103,0.239,400,86,100,95.5,18,0,0,1,1,1
AD4B3,AD04B03,618227.6845,4698009.168,2012,1,0,0,0,0,0,0,0,AD04B03,250,0.075,0.048,203,413,0.103,0.237,361,86,100,82.25,20,0,0,1,1,1
AD4B4,AD04B04,618277.2095,4698029.063,2012,4,0,0,0,0,0,0,1,AD04B04,254,0.065,0.05,222,407,0.104,0.236,330,87,100,96,35,0,0,0,1,1
AD4B5,AD04B05,618324.0552,4698043.394,2012,4,0,0,0,0,0,0,0,AD04B05,260,0.065,0.054,245,403,0.104,0.234,330,86,100,93.75,15,5,0,1,1,1
AD4B6,AD04B06,618369.0045,4698064.646,2012,1,0,0,0,0,0,0,0,AD04B06,262,0.06,0.058,280,378,0.104,0.234,301,86,100,79.75,15,0,5,1,1,2
BB1A1,BB01A01,591792.8276,4564261.614,2012,2,0,0,0,0,0,0,0,BB01A01,92,0.055,0.214,168,47,0.306,0.009,67,88,500,31,10,1,5,2,1,2
BB1A2,BB01A02,591829.8589,4564296.612,2012,0,0,0,0,0,0,0,0,BB01A02,95,0.05,0.202,218,42,0.311,0.01,42,88,500,93.5,35,20,25,2,2,1
BB1A3,BB01A03,591868.6054,4564328.523,2012,0,0,0,0,0,0,0,0,BB01A03,99,0.05,0.199,257,35,0.313,0.01,42,90,500,53.5,80,75,50,1,2,2
BB1A4,BB01A04,591900.9938,4564366.017,2012,0,0,0,0,0,0,0,0,BB01A04,104,0.045,0.196,208,38,0.316,0.01,42,90,500,83.5,30,15,25,1,1,1
BB1A5,BB01A05,591944.5547,4564401.654,2012,0,0,0,0,0,0,0,0,BB01A05,107,0.05,0.189,151,2,0.319,0.01,0,83,500,94.75,5,0,0,2,1,0
BB1A6,BB01A06,592009.5977,4564455.438,2012,0,0,0,0,0,0,0,0,BB01A06,99,0.05,0.182,68,57,0.323,0.01,67,90,500,84.75,90,30,75,1,2,2
BB1B1,BB01B01,591846.4311,4564192.289,2012,0,0,0,0,0,0,0,0,BB01B01,104,0.05,0.206,160,3,0.306,0.008,0,86,500,42.25,90,75,50,1,0,1
BB1B2,BB01B02,591890.8354,4564233.343,2012,0,0,0,0,0,0,0,0,BB01B02,104,0.045,0.195,219,4,0.31,0.008,30,87,500,82.25,96,85,5,1,0,1
BB1B3,BB01B03,591934.1339,4564279.539,2012,0,0,0,0,0,0,0,0,BB01B03,108,0.045,0.19,257,0,0.313,0.009,0,87,500,94.75,10,0,0,2,1,1
BB1B4,BB01B04,591970.2073,4564309.673,2012,0,0,0,0,0,0,0,0,BB01B04,106,0.045,0.187,214,13,0.316,0.009,30,87,500,64.75,96,90,75,1,1,2
BB1B5,BB01B05,591991.6675,4564341.308,2012,0,0,0,0,0,0,0,0,BB01B05,105,0.045,0.184,176,23,0.318,0.009,0,80,500,46,15,5,5,1,2,2
BB1B6,BB01B06,592037.347,4564374.72,2012,0,0,0,0,0,0,0,0,BB01B06,104,0.045,0.175,133,23,0.321,0.009,0,89,500,56,40,15,25,1,1,1
BB2A1,BB02A01,592235.0693,4564801.94,2012,0,0,0,0,0,0,0,0,BB02A01,80,0.075,0.146,200,128,0.333,0.01,60,89,500,88.5,10,5,5,1,1,2
BB2A2,BB02A02,592286.8569,4564796.6,2012,0,0,0,0,0,0,0,0,BB02A02,97,0.075,0.137,182,180,0.332,0.009,67,89,500,82.25,10,5,5,1,1,2
BB2A3,BB02A03,592337.1373,4564791.131,2012,0,0,0,0,0,0,0,0,BB02A03,105,0.075,0.132,177,230,0.331,0.009,127,88,500,49.75,5,0,5,2,0,2
BB2A4,BB02A04,592387.7067,4564789.329,2012,0,0,0,0,0,0,0,0,BB02A04,108,0.085,0.13,190,280,0.331,0.009,150,88,500,89.75,15,5,5,1,1,2
BB2A5,BB02A05,592437.3992,4564783.964,2012,0,0,0,0,0,0,0,0,BB02A05,112,0.085,0.125,212,330,0.331,0.008,201,89,500,39.75,70,50,75,1,2,2
BB2A6,BB02A06,592483.709,4564787.549,2012,0,0,0,0,0,0,0,0,BB02A06,111,0.08,0.12,245,348,0.331,0.008,228,86,500,58.5,90,50,75,1,2,2
BB2B1,BB02B01,592244.2554,4564859.288,2012,0,0,0,0,0,0,0,0,BB02B01,92,0.08,0.14,251,127,0.333,0.009,0,89,500,47.25,80,40,50,1,1,1
BB2B2,BB02B02,592284.9402,4564861.749,2012,0,0,0,0,0,0,0,0,BB02B02,103,0.08,0.137,247,167,0.332,0.009,30,86,500,18.5,75,30,0,1,1,0
BB2B3,BB02B03,592328.6914,4564858.442,2012,0,0,0,0,0,0,0,0,BB02B03,107,0.08,0.132,243,211,0.331,0.009,60,85,500,82.25,5,0,0,1,1,1
BB2B4,BB02B04,592391.1808,4564860.145,2012,0,0,0,0,0,0,0,0,BB02B04,115,0.075,0.129,258,272,0.331,0.009,120,89,500,88.5,25,0,0,1,2,1
BB2B5,BB02B05,592440.2639,4564864.128,2012,0,0,0,0,0,0,0,0,BB02B05,120,0.09,0.124,281,296,0.329,0.008,180,87,500,94.25,5,0,0,2,0,2
BB2B6,BB02B06,592497.701,4564855.289,2012,0,0,0,0,0,0,0,0,BB02B06,117,0.085,0.112,305,280,0.329,0.008,240,83,500,92.25,6,5,5,1,2,2
BB3A1,BB03A01,592128.2459,4564008.803,2012,0,0,0,0,0,0,0,0,BB03A01,124,0.06,0.159,284,91,0.31,0.008,85,90,100,89.75,70,1,5,0,1,1
BB3A2,BB03A02,592109.3181,4564053.754,2012,0,0,0,0,0,0,0,0,BB03A02,109,0.06,0.173,289,134,0.31,0.008,120,89,100,84.75,1,1,0,0,1,2
BB3A3,BB03A03,592095.0774,4564099.321,2012,0,0,0,0,0,0,0,0,BB03A03,94,0.055,0.174,297,180,0.313,0.008,153,89,100,73.5,3,3,0,0,1,1
BB3A4,BB03A04,592074.746,4564142.589,2012,0,0,0,0,0,0,0,0,BB03A04,87,0.05,0.181,319,158,0.313,0.008,150,89,100,82.25,10,5,0,0,2,3
BB3A5,BB03A05,592062.9767,4564191.628,2012,0,0,0,0,0,0,0,0,BB03A05,96,0.05,0.179,315,115,0.314,0.008,108,86,100,94.25,90,35,50,1,1,1
BB3A6,BB03A06,592056.0255,4564244.171,2012,0,0,0,0,0,0,0,0,BB03A06,101,0.05,0.174,262,76,0.316,0.008,67,86,100,89.75,90,80,75,1,1,1
BB3B1,BB03B01,592211.6199,4564014.814,2012,0,0,0,0,0,0,0,0,BB03B01,127,0.055,0.144,205,140,0.312,0.008,30,75,100,93.5,75,25,75,1,1,1
BB3B2,BB03B02,592193.1086,4564058.341,2012,0,0,0,0,0,0,0,0,BB03B02,118,0.06,0.148,206,162,0.314,0.008,30,88,100,76,30,5,5,1,1,2
BB3B3,BB03B03,592181.5355,4564114.463,2012,0,0,0,0,0,0,0,0,BB03B03,108,0.06,0.154,211,208,0.314,0.008,85,89,100,84.75,75,5,5,1,1,1
BB3B4,BB03B04,592165.2739,4564165.138,2012,0,0,0,0,0,0,0,0,BB03B04,93,0.06,0.15,233,210,0.316,0.008,108,89,100,64.75,5,5,0,1,1,1
BB3B5,BB03B05,592157.7807,4564212.024,2012,0,0,0,0,0,0,0,0,BB03B05,92,0.06,0.152,254,180,0.317,0.008,150,90,100,52.25,65,5,25,1,1,2
BB3B6,BB03B06,592154.9292,4564260.774,2012,0,0,0,0,0,0,0,0,BB03B06,95,0.055,0.151,265,139,0.318,0.008,124,90,100,93.5,95,35,25,1,1,1
BS1A1,BS01A01,576854.5576,4649544.403,2012,0,0,0,0,0,0,0,0,BS01A01,184,0.104,0.006,184,905,0.093,0.011,886,91,200,83.5,75,15,0,1,2,1
BS1A2,BS01A02,576820.5878,4649503.668,2012,0,0,0,0,0,0,0,0,BS01A02,177,0.109,0.009,222,888,0.095,0.011,872,91,200,76,75,50,0,1,1,1
BS1A3,BS01A03,576785.5797,4649472.966,2012,0,0,0,0,0,0,0,0,BS01A03,180,0.109,0.009,264,868,0.096,0.011,859,89,200,91.25,80,25,0,1,0,1
BS1A4,BS01A04,576747.1164,4649442.542,2012,0,0,0,0,0,0,0,0,BS01A04,179,0.114,0.01,285,845,0.096,0.011,842,89,200,95,50,10,0,1,1,1
BS1A5,BS01A05,576719.5614,4649404.399,2012,0,0,0,0,0,0,0,0,BS01A05,178,0.119,0.011,246,831,0.095,0.011,811,90,200,87.25,70,35,0,1,1,1
BS1A6,BS01A06,576679.2727,4649376.413,2012,0,0,0,0,0,0,0,0,BS01A06,176,0.119,0.012,223,803,0.095,0.01,780,90,200,18,20,5,0,1,1,1
BS1B1,BS01B01,576803.8201,4649602.572,2012,0,0,0,0,0,0,0,0,BS01B01,174,0.104,0.008,241,839,0.096,0.011,836,87,200,68.5,25,18,0,1,2,1
BS1B2,BS01B02,576770.9388,4649563.906,2012,0,0,0,0,0,0,0,0,BS01B02,171,0.104,0.01,268,820,0.097,0.011,819,91,200,96,30,4,0,1,2,1
BS1B3,BS01B03,576740.8048,4649523.937,2012,0,0,0,0,0,0,0,0,BS01B03,174,0.109,0.01,298,806,0.097,0.01,805,89,200,51,65,17,0,1,1,1
BS1B4,BS01B04,576697.8347,4649498.932,2012,0,0,0,0,0,0,0,0,BS01B04,156,0.114,0.012,342,778,0.098,0.01,765,86,200,91,40,5,0,1,2,0
BS1B5,BS01B05,576675.4534,4649454.384,2012,0,0,0,0,0,0,0,0,BS01B05,171,0.119,0.012,301,773,0.097,0.01,759,88,200,76,85,75,0,1,2,1
BS1B6,BS01B06,576645.6005,4649411.31,2012,0,0,0,0,0,0,0,0,BS01B06,157,0.119,0.013,266,760,0.097,0.01,741,87,200,86,10,5,0,1,1,1
BS2A1,BS02A01,577049.119,4649844.952,2012,0,0,0,0,1,0,0,0,BS02A01,178,0.07,0.015,158,894,0.086,0.011,872,91,200,68.5,30,5,0,1,2,2
BS2A2,BS02A02,577093.0969,4649835.322,2012,0,0,0,0,0,0,0,0,BS02A02,179,0.07,0.016,150,868,0.084,0.011,859,90,200,89,40,30,0,1,2,1
BS2A3,BS02A03,577137.3395,4649817.886,2012,0,0,0,0,0,0,1,0,BS02A03,181,0.07,0.019,148,840,0.083,0.01,830,90,200,68.5,25,25,0,1,2,1
BS2A4,BS02A04,577188.705,4649803.05,2012,0,1,0,0,0,0,0,0,BS02A04,181,0.07,0.021,168,787,0.08,0.01,780,91,200,82.25,30,26,0,1,1,1
BS2A5,BS02A05,577233.3116,4649795.596,2012,0,0,0,0,0,0,0,0,BS02A05,176,0.07,0.022,183,743,0.079,0.01,752,90,200,29.75,35,0,0,1,3,1
BS2A6,BS02A06,577280.4266,4649765.702,2012,0,0,0,0,0,0,0,0,BS02A06,156,0.07,0.024,149,688,0.075,0.01,685,90,200,76,50,35,0,1,2,1
BS2B1,BS02B01,577023.6379,4649780.516,2012,0,0,1,0,0,0,0,0,BS02B01,178,0.085,0.01,102,935,0.087,0.011,939,90,200,91.75,50,40,0,1,1,1
BS2B2,BS02B02,577069.1054,4649766.019,2012,0,0,0,0,1,0,0,0,BS02B02,182,0.08,0.015,78,887,0.085,0.011,882,88,200,93.5,80,40,0,1,1,1
BS2B3,BS02B03,577118.3616,4649745.9,2012,0,0,0,0,0,0,0,0,BS02B03,183,0.075,0.016,78,834,0.083,0.011,845,90,200,86.75,85,25,0,1,1,1
BS2B4,BS02B04,577166.4726,4649732.099,2012,0,0,0,0,0,0,0,0,BS02B04,184,0.075,0.018,109,784,0.081,0.011,787,89,200,86.75,90,5,0,1,1,1
BS2B5,BS02B05,577222.457,4649717.939,2012,0,0,0,0,0,0,0,0,BS02B05,172,0.075,0.021,112,727,0.077,0.011,721,91,200,72.25,5,5,0,1,2,1
BS2B6,BS02B06,577267.2554,4649704.103,2012,1,0,0,0,0,0,0,0,BS02B06,164,0.075,0.022,87,680,0.074,0.011,693,91,200,86.75,35,30,0,1,2,1
BS3A1,BS03A01,577545.0992,4649487.232,2012,0,0,0,0,0,0,0,0,BS03A01,139,0.095,0.029,302,350,0.063,0.011,362,90,200,92.5,50,40,0,1,2,2
BS3A2,BS03A02,577501.6721,4649454.544,2012,1,0,0,0,0,0,0,0,BS03A02,155,0.104,0.025,281,376,0.065,0.011,371,89,200,89.75,10,8,0,1,2,1
BS3A3,BS03A03,577459.1879,4649431.426,2012,1,0,0,0,0,0,0,0,BS03A03,161,0.1,0.022,249,403,0.066,0.012,400,90,200,92.75,75,15,0,1,2,1
BS3A4,BS03A04,577420.5187,4649415.013,2012,0,0,0,0,0,0,0,0,BS03A04,156,0.1,0.02,226,433,0.068,0.012,446,89,200,82.25,40,15,0,1,2,1
BS3A5,BS03A05,577389.7427,4649396.192,2012,0,0,0,0,0,0,0,0,BS03A05,157,0.1,0.019,206,457,0.07,0.012,474,90,200,89.25,25,20,0,1,2,1
BS3A6,BS03A06,577346.7344,4649373.972,2012,0,0,0,0,0,0,0,0,BS03A06,162,0.095,0.019,190,493,0.071,0.012,495,90,200,84.75,40,15,0,1,3,1
BS3B1,BS03B01,577591.0544,4649424.032,2012,0,0,0,0,0,0,0,0,BS03B01,139,0.1,0.029,304,283,0.063,0.011,277,85,200,90.5,75,30,0,1,2,1
BS3B2,BS03B02,577553.3494,4649387.42,2012,0,0,1,0,0,0,0,0,BS03B02,140,0.109,0.026,252,299,0.064,0.011,295,80,200,31,15,0,0,1,3,1
BS3B3,BS03B03,577516.8661,4649360.259,2012,0,0,0,0,0,0,0,0,BS03B03,146,0.109,0.023,208,325,0.066,0.012,313,84,200,78.5,15,5,0,1,1,1
BS3B4,BS03B04,577487.3822,4649321.738,2012,0,0,0,0,0,0,0,0,BS03B04,149,0.109,0.022,160,345,0.068,0.012,335,87,200,91.75,15,5,0,1,2,1
BS3B5,BS03B05,577445.4449,4649293.297,2012,0,0,0,0,0,0,0,0,BS03B05,165,0.119,0.021,114,381,0.071,0.012,390,90,200,76,30,15,0,1,2,1
BS3B6,BS03B06,577406.1125,4649261.443,2012,0,0,1,0,0,0,0,0,BS03B06,166,0.114,0.02,71,408,0.073,0.012,408,90,200,78.5,20,5,0,1,2,1
BS3E1,BS03E01,577072.2566,4649555.85,2012,0,0,0,0,0,0,0,0,BS03E01,186,0.095,0.01,35,809,0.081,0.012,808,90,200,,,,,,,
BS3E2,BS03E02,577118.933,4649571.473,2012,0,0,0,0,0,0,0,0,BS03E02,185,0.09,0.011,84,771,0.08,0.012,779,90,200,,,,,,,
BS3N1,BS03N01,577036.4663,4649575.463,2012,0,1,0,0,0,0,0,0,BS03N01,188,0.09,0.01,27,849,0.083,0.011,874,90,200,,,,,,,
BS3N2,BS03N02,577030.2595,4649630.44,2012,0,0,0,0,0,0,0,0,BS03N02,188,0.09,0.009,68,876,0.085,0.011,882,89,200,,,,,,,
BS3S1,BS03S01,577047.3825,4649501.186,2012,0,0,0,0,0,0,0,0,BS03S01,187,0.1,0.01,48,815,0.083,0.012,816,89,200,,,,,,,
BS3S2,BS03S02,577053.3508,4649454.835,2012,0,0,0,0,0,0,0,0,BS03S02,185,0.1,0.011,95,797,0.085,0.012,801,86,200,,,,,,,
BS3W1,BS03W01,577012.9149,4649532.011,2012,0,0,0,0,0,0,0,0,BS03W01,189,0.09,0.009,30,857,0.085,0.011,854,89,200,,,,,,,
BS3W2,BS03W02,576960.3232,4649524.664,2012,1,0,0,0,0,0,0,0,BS03W02,187,0.09,0.007,81,905,0.089,0.011,911,90,200,,,,,,,
BS4A1,BS04A01,577231.7528,4649163.428,2012,0,0,0,0,0,0,0,0,BS04A01,166,0.119,0.017,152,547,0.078,0.013,552,90,200,94.25,4,1,0,1,3,1
BS4A2,BS04A02,577237.095,4649115.972,2012,0,0,0,0,0,0,1,0,BS04A02,165,0.114,0.017,176,535,0.078,0.013,532,89,200,83.5,85,85,0,1,1,1
BS4A3,BS04A03,577243.27,4649060.361,2012,0,0,0,0,0,0,0,0,BS04A03,160,0.114,0.017,201,525,0.078,0.013,518,89,200,91.5,75,75,0,1,3,1
BS4A4,BS04A04,577264.5367,4649006.935,2012,0,0,0,0,0,0,0,1,BS04A04,161,0.109,0.018,209,504,0.077,0.014,484,88,200,87.75,45,45,0,1,1,1
BS4A5,BS04A05,577271.2523,4648931.691,2012,0,0,0,0,0,0,0,0,BS04A05,164,0.109,0.018,182,481,0.077,0.014,481,90,200,93,40,35,0,1,1,1
BS4A6,BS04A06,577274.3617,4648890.371,2012,0,0,0,0,0,0,0,0,BS04A06,165,0.109,0.018,170,463,0.077,0.015,470,87,200,92.25,35,30,0,1,2,1
BS4B1,BS04B01,577154.7287,4649160.124,2012,0,0,0,0,0,0,0,0,BS04B01,170,0.119,0.016,84,622,0.079,0.013,636,90,200,91.75,50,45,0,1,1,2
BS4B2,BS04B02,577151.4024,4649115.43,2012,0,0,0,0,0,0,0,0,BS04B02,170,0.119,0.015,114,620,0.08,0.013,618,89,200,77.25,40,30,0,1,1,1
BS4B3,BS04B03,577165.8368,4649068.361,2012,0,0,0,0,0,0,0,0,BS04B03,172,0.119,0.016,161,603,0.079,0.013,582,88,200,74.75,40,30,0,1,1,1
BS4B4,BS04B04,577195.3018,4648973.679,2012,0,0,0,0,0,0,0,0,BS04B04,170,0.119,0.016,147,588,0.079,0.013,573,89,200,79.75,75,75,0,1,1,1
BS4B5,BS04B05,577204.8932,4648920.488,2012,0,0,0,0,0,0,0,0,BS04B05,160,0.119,0.017,132,565,0.078,0.014,540,90,200,86,50,45,0,1,1,1
BS4B6,BS04B06,603312.7748,4588030.878,2012,0,0,0,0,0,0,0,0,BS04B06,164,0.119,0.017,120,539,0.078,0.015,537,89,200,90.5,35,32,0,1,2,1
CH1A1,CH01A01,603074.0088,4587938.969,2012,0,0,0,0,0,0,0,0,CH01A01,251,0.08,0.052,191,8,0.102,0.009,30,88,600,83.5,80,15,75,1,1,1
CH1A2,CH01A02,603121.5083,4587954.082,2012,0,0,0,0,0,0,0,0,CH01A02,251,0.08,0.053,202,40,0.102,0.009,30,89,600,91,10,7,5,1,0,1
CH1A3,CH01A03,603166.92,4587974.939,2012,0,0,0,0,0,0,0,0,CH01A03,246,0.08,0.052,219,87,0.102,0.009,90,89,600,83.5,15,10,0,1,1,1
CH1A4,CH01A04,603218.1379,4587987.108,2012,0,0,0,0,0,0,0,0,CH01A04,240,0.08,0.051,255,140,0.102,0.009,120,89,600,78.5,15,10,0,1,1,1
CH1A5,CH01A05,603265.2328,4588007.101,2012,0,0,0,0,0,0,0,0,CH01A05,229,0.08,0.051,288,188,0.102,0.009,180,88,600,84.25,30,5,0,1,0,2
CH1A6,CH01A06,603312.7748,4588030.878,2012,0,0,0,0,0,0,0,0,CH01A06,216,0.08,0.051,326,237,0.102,0.009,212,85,600,89.75,90,75,0,1,3,1
CH1B1,CH01B01,603098.3393,4587866.28,2012,1,0,0,0,0,0,0,0,CH01B01,254,0.08,0.05,267,6,0.103,0.009,0,88,600,89.25,95,75,50,1,1,1
